url,id_inmueble,precio,titulo,tipo_inmueble,calle,colonia,alcaldia,cp,recamaras,banos,m2_construidos,estacionamientos,antiguedad,amenidades,precio_m2_colonia,latitud,longitud,fecha_extraccion
https://propiedades.com/inmuebles/departamento-en-venta-av-alvaro-obregon-hipodromo-df-30509729#pagina=17&tipos=residencial-venta&area=df&pos=30,30432884.0,7425000.0,"Departamento disponible en venta en Av. Álvaro Obregón, Colonia Hipódromo, C.P. 06100",Departamento,Avenida Álvaro Obregón,Hipódromo,Cuauhtémoc,6100.0,2.0,2.0,0.0,2.0,,[],62600.0,19.416286,-99.169398,2025-11-30 02:08:22
https://propiedades.com/inmuebles/departamento-en-venta-laguna-de-guzman-anahuac-i-secc-11320-ciudad-de-mexico-cdmx-anahuac-ii-seccion-df-30255443#pagina=26&tipos=residencial-venta&area=df&pos=6,30018056.0,3950000.0,"Se vende departamento en Laguna de Guzman, Anáhuac I Secc., 11320 Ciudad de México, CDMX, Colonia Anahuac II Sección, C.P. 11320",Departamento,Laguna de Guzman,Anahuac Ii Sección,Miguel Hidalgo,11320.0,1.0,2.0,,1.0,6.0,[],39760.0,19.407116,-99.190617,2025-11-30 02:08:37
https://propiedades.com/inmuebles/departamento-en-venta-celestun-heroes-de-padierna-df-27991302#pagina=9&tipos=residencial-venta&area=df&pos=29,30518753.0,3800000.0,"Departamento disponible en venta en Celestun, Colonia Héroes de Padierna, C.P. 14200",Departamento,Celestun,Héroes de Padierna,Tlalpan,14200.0,2.0,2.0,119.0,1.0,2.0,[],25680.0,19.283281,-99.221841,2025-11-30 02:08:53
https://propiedades.com/inmuebles/casa-en-venta-jaina-letran-valle-benito-juarez-03650-ciudad-de-mexico-cdmx-sn-letran-valle-df-30494524#pagina=23&tipos=residencial-venta&area=df&pos=40,30580553.0,11150000.0,"Se vende casa en Jaina, Letran Valle, Benito Juárez, 03650 Ciudad de México, CDMX #s/n, Colonia Letrán Valle, C.P. 03650",Casa,Jaina,Letrán Valle,Benito Juárez,3650.0,3.0,3.0,106.0,2.0,15.0,"['Cisterna', 'Telefonía']",41420.0,19.374119,-99.152255,2025-11-30 02:09:08
https://propiedades.com/inmuebles/departamento-en-venta-santa-fe-cuajimalpa-df-27223587#pagina=20&tipos=residencial-venta&area=df&pos=22,28792472.0,4800000.0,"Venta de departamento en _ , Colonia Santa Fe Cuajimalpa, C.P. 05348",Departamento,,Santa Fe Cuajimalpa,Cuajimalpa,5348.0,2.0,2.0,6.0,2.0,15.0,[],52900.0,19.358168,-99.272261,2025-11-30 02:09:25
https://propiedades.com/inmuebles/casa-en-venta-cjon-del-bosque-san-jeronimo-lidice-10200-ciudad-de-mexico-cdmx-24-san-jeronimo-lidice-df-30452682#pagina=7&tipos=residencial-venta&area=df&pos=33,27383582.0,12790000.0,"Venta de casa Cjon. del Bosque, San Jerónimo Lídice, 10200 Ciudad de México, CDMX #24, Colonia San Jerónimo Lídice, C.P. 10200",Casa,,San Jerónimo Lídice,La Magdalena Contreras,10200.0,4.0,4.0,290.0,2.0,19.0,['Cisterna'],31770.0,19.326719,-99.22256,2025-11-30 02:09:45
https://propiedades.com/inmuebles/departamento-en-venta-departamento-en-periferico-sur-los-alpes-con-amenidades-los-alpes-df-30094255#pagina=6&tipos=residencial-venta&area=df&pos=15,29409614.0,6179382.0,"Departamento en venta, DEPARTAMENTO EN PERIFERICO SUR LOS ALPES CON AMENIDADES , Colonia Los Alpes, C.P. 01010",Departamento,Periferico Sur LOS Alpes CON Amenidades,Los Alpes,Álvaro Obregón,1010.0,2.0,2.0,344.0,2.0,1.0,['Cisterna'],59230.0,19.359862,-99.193491,2025-11-30 02:10:01
https://propiedades.com/inmuebles/departamento-en-venta-cmonte-camerun-145-lomas-de-chapultepec-miguel-hidalgo-11000-ciudad-de-mexico-cdmx-145-lomas-de-chapultepec-v-seccion-df-30545194#pagina=12&tipos=residencial-venta&area=df&pos=14,27975207.0,15500000.0,"Venta departamento en C.Monte Camerun 145, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX #145, Colonia Lomas de Chapultepec V Sección, C.P. 11000",Departamento,C.monte Camerun 145,Lomas de Chapultepec V Sección,Miguel Hidalgo,11000.0,3.0,3.0,223.0,2.0,1.0,[],58630.0,19.410697,-99.21981,2025-11-30 02:10:16
https://propiedades.com/inmuebles/departamento-en-venta-calzada-santa-cruz-privanza-santa-97-depto-201-torre-1-san-simon-ticumac-benito-juarez-cdmx-cp-san-simon-ticumac-df-29533164#tipos=residencial-venta&area=df&pos=9,30096667.0,2899000.0,"Se vende departamento Calzada Santa Cruz Privanza Santa 97, Depto 201 Torre 1, San Simon Ticumac, Benito Juárez, CDMX CP. , Colonia San Simón Ticumac, C.P. 03660",Departamento,,San Simón Ticumac,Benito Juárez,3660.0,1.0,2.0,67.0,1.0,19.0,[],35130.0,19.375563,-99.145668,2025-11-30 02:10:31
https://propiedades.com/inmuebles/departamento-en-venta-narvarte-poniente-pitagoras-03020-ciudad-de-mexico-cdmx-sn-narvarte-poniente-df-30417384#pagina=27&tipos=residencial-venta&area=df&pos=31,30517055.0,3695000.0,"Departamento en venta, Narvarte Poniente Pitagoras, 03020 Ciudad de México, CDMX #s/n, Colonia Narvarte Poniente, C.P. 03020",Departamento,Venta,Narvarte Poniente,Benito Juárez,3020.0,2.0,1.0,41.0,2.0,,['Cisterna'],41310.0,19.398537,-99.152126,2025-11-30 02:10:58
