cp,alcaldia,poblacion_alcaldia_2020,latitud_aprox,longitud_aprox
01000,Álvaro Obregón,727034,19.3733,-99.2345
01010,Álvaro Obregón,727034,19.374,-99.235
01020,Álvaro Obregón,727034,19.3725,-99.233
01030,Álvaro Obregón,727034,19.371,-99.232
01040,Álvaro Obregón,727034,19.37,-99.231
01050,Álvaro Obregón,727034,19.369,-99.23
01060,Álvaro Obregón,727034,19.368,-99.229
01070,Álvaro Obregón,727034,19.367,-99.228
01080,Álvaro Obregón,727034,19.366,-99.227
01090,Álvaro Obregón,727034,19.365,-99.226
01100,Álvaro Obregón,727034,19.364,-99.225
01110,Álvaro Obregón,727034,19.363,-99.224
01120,Álvaro Obregón,727034,19.362,-99.223
01130,Álvaro Obregón,727034,19.361,-99.222
01139,Álvaro Obregón,727034,19.36,-99.221
01140,Álvaro Obregón,727034,19.359,-99.22
01150,Álvaro Obregón,727034,19.358,-99.219
01160,Álvaro Obregón,727034,19.357,-99.218
01170,Álvaro Obregón,727034,19.356,-99.217
01180,Álvaro Obregón,727034,19.355,-99.216
01200,Álvaro Obregón,727034,19.354,-99.215
01210,Álvaro Obregón,727034,19.353,-99.214
01219,Álvaro Obregón,727034,19.352,-99.213
01220,Álvaro Obregón,727034,19.351,-99.212
01230,Álvaro Obregón,727034,19.35,-99.211
01240,Álvaro Obregón,727034,19.349,-99.21
01250,Álvaro Obregón,727034,19.348,-99.209
01259,Álvaro Obregón,727034,19.347,-99.208
01260,Álvaro Obregón,727034,19.346,-99.207
01270,Álvaro Obregón,727034,19.345,-99.206
01280,Álvaro Obregón,727034,19.344,-99.205
01290,Álvaro Obregón,727034,19.343,-99.204
01298,Álvaro Obregón,727034,19.342,-99.203
01299,Álvaro Obregón,727034,19.341,-99.202
01310,Álvaro Obregón,727034,19.34,-99.201
01320,Álvaro Obregón,727034,19.339,-99.2
01330,Álvaro Obregón,727034,19.338,-99.199
01340,Álvaro Obregón,727034,19.337,-99.198
01376,Álvaro Obregón,727034,19.336,-99.197
01377,Álvaro Obregón,727034,19.335,-99.196
01389,Álvaro Obregón,727034,19.334,-99.195
01400,Álvaro Obregón,727034,19.333,-99.194
01408,Álvaro Obregón,727034,19.332,-99.193
01410,Álvaro Obregón,727034,19.331,-99.192
01419,Álvaro Obregón,727034,19.33,-99.191
01420,Álvaro Obregón,727034,19.329,-99.19
01430,Álvaro Obregón,727034,19.328,-99.189
01450,Álvaro Obregón,727034,19.327,-99.188
01460,Álvaro Obregón,727034,19.326,-99.187
01470,Álvaro Obregón,727034,19.325,-99.186
01480,Álvaro Obregón,727034,19.324,-99.185
01490,Álvaro Obregón,727034,19.323,-99.184
01500,Álvaro Obregón,727034,19.322,-99.183
01510,Álvaro Obregón,727034,19.321,-99.182
01520,Álvaro Obregón,727034,19.32,-99.181
01530,Álvaro Obregón,727034,19.319,-99.18
01540,Álvaro Obregón,727034,19.318,-99.179
01550,Álvaro Obregón,727034,19.317,-99.178
01560,Álvaro Obregón,727034,19.316,-99.177
01569,Álvaro Obregón,727034,19.315,-99.176
01570,Álvaro Obregón,727034,19.314,-99.175
01580,Álvaro Obregón,727034,19.313,-99.174
01590,Álvaro Obregón,727034,19.312,-99.173
01600,Álvaro Obregón,727034,19.311,-99.172
01610,Álvaro Obregón,727034,19.31,-99.171
01618,Álvaro Obregón,727034,19.309,-99.17
01619,Álvaro Obregón,727034,19.308,-99.169
01620,Álvaro Obregón,727034,19.307,-99.168
01630,Álvaro Obregón,727034,19.306,-99.167
01640,Álvaro Obregón,727034,19.305,-99.166
01645,Álvaro Obregón,727034,19.304,-99.165
01650,Álvaro Obregón,727034,19.303,-99.164
01660,Álvaro Obregón,727034,19.302,-99.163
01700,Álvaro Obregón,727034,19.301,-99.162
01710,Álvaro Obregón,727034,19.3,-99.161
01720,Álvaro Obregón,727034,19.299,-99.16
01730,Álvaro Obregón,727034,19.298,-99.159
01740,Álvaro Obregón,727034,19.297,-99.158
01750,Álvaro Obregón,727034,19.296,-99.157
01760,Álvaro Obregón,727034,19.295,-99.156
01770,Álvaro Obregón,727034,19.294,-99.155
01780,Álvaro Obregón,727034,19.293,-99.154
01790,Álvaro Obregón,727034,19.292,-99.153
01800,Álvaro Obregón,727034,19.291,-99.152
01810,Álvaro Obregón,727034,19.29,-99.151
01820,Álvaro Obregón,727034,19.289,-99.15
01840,Álvaro Obregón,727034,19.288,-99.149
01849,Álvaro Obregón,727034,19.287,-99.148
01850,Álvaro Obregón,727034,19.286,-99.147
01857,Álvaro Obregón,727034,19.285,-99.146
01859,Álvaro Obregón,727034,19.284,-99.145
01860,Álvaro Obregón,727034,19.283,-99.144
01870,Álvaro Obregón,727034,19.282,-99.143
01900,Álvaro Obregón,727034,19.281,-99.142
02000,Azcapotzalco,432205,19.4867,-99.185
02010,Azcapotzalco,432205,19.485,-99.184
02020,Azcapotzalco,432205,19.484,-99.183
02040,Azcapotzalco,432205,19.483,-99.182
02050,Azcapotzalco,432205,19.482,-99.181
02060,Azcapotzalco,432205,19.481,-99.18
02070,Azcapotzalco,432205,19.48,-99.179
02080,Azcapotzalco,432205,19.479,-99.178
02090,Azcapotzalco,432205,19.478,-99.177
02099,Azcapotzalco,432205,19.477,-99.176
02100,Azcapotzalco,432205,19.476,-99.175
02120,Azcapotzalco,432205,19.475,-99.174
02128,Azcapotzalco,432205,19.474,-99.173
02129,Azcapotzalco,432205,19.473,-99.172
02130,Azcapotzalco,432205,19.472,-99.171
02140,Azcapotzalco,432205,19.471,-99.17
02150,Azcapotzalco,432205,19.47,-99.169
02160,Azcapotzalco,432205,19.469,-99.168
02200,Azcapotzalco,432205,19.468,-99.167
02230,Azcapotzalco,432205,19.467,-99.166
02240,Azcapotzalco,432205,19.466,-99.165
02250,Azcapotzalco,432205,19.465,-99.164
02300,Azcapotzalco,432205,19.464,-99.163
02310,Azcapotzalco,432205,19.463,-99.162
02320,Azcapotzalco,432205,19.462,-99.161
02330,Azcapotzalco,432205,19.461,-99.16
02340,Azcapotzalco,432205,19.46,-99.159
02360,Azcapotzalco,432205,19.459,-99.158
02600,Azcapotzalco,432205,19.458,-99.157
02630,Azcapotzalco,432205,19.457,-99.156
02640,Azcapotzalco,432205,19.456,-99.155
